label|run|prompt_n|cached_n|tokenize_ms|prompt_ms|predicted_per_second|hw
gemma4-e4b-mlx|1|1813|0|233.266|2882.744|32.429|Apple-M4-16gb
gemma4-e4b-mlx|2|1813|1812|0.003|35.362|32.325|Apple-M4-16gb
gemma4-e4b-mlx|3|1813|1812|0.002|33.714|32.294|Apple-M4-16gb
gemma4-e4b-mlx|4|1813|1812|0.002|33.537|32.474|Apple-M4-16gb
gemma4-e4b-mlx|5|1813|1812|0.002|33.65|32.286|Apple-M4-16gb
qwen35-4b-gguf-multi-A|1|41|0|1.34|50.878|19.479|Apple-M4-16gb
qwen35-4b-gguf-multi-B|2|41|0|0.685|38.954|19.971|Apple-M4-16gb
qwen35-4b-gguf-multi-A|3|41|40|0.001|0.878|29.418|Apple-M4-16gb
qwen35-4b-gguf-multi-B|4|41|40|0.004|0.922|29.702|Apple-M4-16gb
qwen35-4b-gguf-multi-A|5|41|40|0.002|1.001|29.703|Apple-M4-16gb
qwen35-4b-gguf-single-A|1|41|0|0.738|41.25|19.781|Apple-M4-16gb
qwen35-4b-gguf-single-B|2|41|0|0.427|4.323|19.933|Apple-M4-16gb
qwen35-4b-gguf-single-A|3|41|0|0.001|4.449|19.758|Apple-M4-16gb
qwen35-4b-gguf-single-B|4|41|0|0.001|4.398|19.45|Apple-M4-16gb
qwen35-4b-gguf-single-A|5|41|0|0.001|5.576|19.711|Apple-M4-16gb
